net,length_um
_19890_,418.86µm
net835,418.33µm
_19982_,417.62µm
net437,417.53µm
_22082_,417.32µm
_19554_,417.3µm
net112,417.285µm
_12395_,417.26µm
_08349_,417.13µm
_12387_,416.82µm
_19668_,416.63µm
net459,416.365µm
clknet_5_19__leaf_clk,416.34µm
_15915_,415.98µm
_12324_,415.68µm
net575,415.675µm
net167,415.14µm
net419,414.72µm
_19688_,414µm
_09720_,413.375µm
scan_parallel\[4\],412.76µm
_16639_,411.99µm
_15969_,411.97µm
_15073_,411.84µm
net750,411.78µm
_21473_,410.91µm
net643,410.76µm
net357,410.485µm
net707,410.35µm
_12471_,409.735µm
_12274_,409.32µm
net678,408.53µm
net145,408.31µm
net476,408.13µm
_19638_,407.77µm
net1886,407.74µm
_12361_,407.21µm
net663,407.18µm
_19470_,407.125µm
net634,406.72µm
_16586_,406.49µm
net574,406.22µm
net646,405.16µm
net445,405.065µm
_12785_,404.865µm
_20854_,404.61µm
net636,404.16µm
_19528_,404.12µm
net460,404.12µm
_08843_,403.69µm
_18786_,403.57µm
_19866_,402.84µm
_12358_,402.65µm
net97,401.71µm
net390,400.98µm
_19734_,400.58µm
_19574_,400.16µm
_19517_,400.145µm
_20946_,399.93µm
_12227_,399.8µm
_19633_,398.89µm
_22091_,398.86µm
_12928_,398.55µm
_19576_,398.4µm
_16023_,398.3µm
_08650_,397.97µm
_19559_,397.93µm
net231,397.29µm
_19579_,397.04µm
_19586_,396.905µm
_03074_,396.505µm
clknet_5_6__leaf_clk,396.49µm
_20101_,396.08µm
_09379_,395.98µm
net863,395.87µm
_13193_,395.545µm
_20937_,395.51µm
_14703_,395µm
_22637_,394.8µm
net94,394.74µm
_12888_,394.56µm
net525,394.19µm
_19508_,394.155µm
_19620_,393.825µm
_12867_,393.5µm
_19491_,393.48µm
net742,393.42µm
_19498_,393.335µm
_13412_,393.305µm
_19896_,393.3µm
clknet_5_20__leaf_clk,392.96µm
_03073_,392.825µm
_22429_,392.66µm
_11120_,392.54µm
_08372_,392.19µm
_15843_,392.1µm
_19669_,391.84µm
net677,391.71µm
_15758_,391.17µm
_21204_,391.14µm
_12620_,391.12µm
_12831_,390.995µm
net661,390.98µm
_05282_,390.59µm
_16644_,390.53µm
_20996_,390.44µm
clknet_5_5__leaf_clk,390.44µm
pq_head_id\[2\],390.095µm
net583,389.71µm
pq_head_id\[3\],389.61µm
_19529_,389.115µm
_09310_,388.96µm
_10191_,388.87µm
net426,387.92µm
_08858_,387.85µm
_12217_,387.24µm
net388,387.1µm
_19629_,386.93µm
