net,length_um
_02603_,4.12µm
_02608_,4.12µm
_02625_,4.12µm
_02800_,4.12µm
_02835_,4.12µm
_02867_,4.12µm
_02880_,4.12µm
_02891_,4.12µm
_03015_,4.12µm
_03045_,4.12µm
_04017_,4.12µm
_04759_,4.12µm
_05383_,4.12µm
_06196_,4.12µm
_06339_,4.12µm
_09209_,4.12µm
_18882_,4.12µm
_19124_,4.12µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[5\],4.12µm
u_ctrl.u_task_table.abs_deadline_mem\[6\]\[15\],4.12µm
_14345_,4.115µm
_15203_,4.11µm
_00096_,4.1µm
_00103_,4.1µm
_01193_,4.1µm
_01838_,4.1µm
_01893_,4.1µm
_02154_,4.1µm
_02472_,4.1µm
_02670_,4.1µm
_02729_,4.1µm
_02741_,4.1µm
_02854_,4.1µm
_02912_,4.1µm
_02972_,4.1µm
_03053_,4.1µm
_03137_,4.1µm
_03279_,4.1µm
_03421_,4.1µm
_04036_,4.1µm
_04140_,4.1µm
_04443_,4.1µm
_04622_,4.1µm
_04682_,4.1µm
_04972_,4.1µm
_04998_,4.1µm
_05365_,4.1µm
_05417_,4.1µm
_05431_,4.1µm
_05578_,4.1µm
_06865_,4.1µm
_07365_,4.1µm
_07623_,4.1µm
_08221_,4.1µm
_08451_,4.1µm
_08860_,4.1µm
_10243_,4.1µm
_10536_,4.1µm
_10601_,4.1µm
_10611_,4.1µm
_10729_,4.1µm
_10818_,4.1µm
_11302_,4.1µm
_11419_,4.1µm
_11456_,4.1µm
_11640_,4.1µm
_11670_,4.1µm
_12242_,4.1µm
_12384_,4.1µm
_12551_,4.1µm
_12890_,4.1µm
_13626_,4.1µm
_14214_,4.1µm
_14249_,4.1µm
_16461_,4.1µm
_16750_,4.1µm
_16811_,4.1µm
_16879_,4.1µm
_16977_,4.1µm
_16979_,4.1µm
_17179_,4.1µm
_17586_,4.1µm
_17607_,4.1µm
_17706_,4.1µm
_17827_,4.1µm
_18101_,4.1µm
_18124_,4.1µm
_18467_,4.1µm
_18517_,4.1µm
_18576_,4.1µm
_19442_,4.1µm
_20580_,4.1µm
_20593_,4.1µm
_20729_,4.1µm
_21060_,4.1µm
_21099_,4.1µm
_21205_,4.1µm
_21258_,4.1µm
_21591_,4.1µm
_21725_,4.1µm
_21754_,4.1µm
_21961_,4.1µm
_22285_,4.1µm
_22351_,4.1µm
_22823_,4.1µm
_22964_,4.1µm
u_ctrl.tt_wr_abs_deadline\[0\],4.1µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[4\],4.1µm
u_scan.scan_reg\[56\],4.1µm
u_sq.cnt_mem\[11\]\[15\],4.1µm
u_sq.id_mem\[10\]\[1\],4.1µm
_00257_,4.08µm
_00274_,4.08µm
_00548_,4.08µm
_00777_,4.08µm
_01738_,4.08µm
_01768_,4.08µm
_01881_,4.08µm
_02610_,4.08µm
_02711_,4.08µm
_02733_,4.08µm
_02745_,4.08µm
_02832_,4.08µm
_02920_,4.08µm
_02928_,4.08µm
_02975_,4.08µm
_03012_,4.08µm
_03040_,4.08µm
_03820_,4.08µm
_07795_,4.08µm
_08471_,4.08µm
_13130_,4.08µm
_13678_,4.08µm
_13761_,4.08µm
_14231_,4.08µm
_19119_,4.08µm
_20325_,4.08µm
_21267_,4.08µm
_08027_,4.05µm
_15507_,4.05µm
_15984_,4.05µm
_16122_,4.05µm
_16156_,4.05µm
_19086_,4.05µm
net1582,4.05µm
_02378_,4.045µm
_06331_,4.04µm
_12411_,4.035µm
_12621_,4.03µm
_20643_,4.03µm
_01002_,4.02µm
_03183_,4.02µm
_03186_,4.02µm
_03322_,4.02µm
_03327_,4.02µm
_03773_,4.02µm
_03889_,4.02µm
_04001_,4.02µm
_04474_,4.02µm
_04488_,4.02µm
_04545_,4.02µm
_04571_,4.02µm
_05579_,4.02µm
_05935_,4.02µm
_06726_,4.02µm
_06758_,4.02µm
_07299_,4.02µm
_07302_,4.02µm
_07341_,4.02µm
_07376_,4.02µm
_07438_,4.02µm
_07981_,4.02µm
_08578_,4.02µm
_09163_,4.02µm
_09186_,4.02µm
_09453_,4.02µm
_09625_,4.02µm
_09635_,4.02µm
_09708_,4.02µm
_09762_,4.02µm
_09763_,4.02µm
_09776_,4.02µm
_10640_,4.02µm
_10659_,4.02µm
_10699_,4.02µm
_10711_,4.02µm
_10804_,4.02µm
_10934_,4.02µm
_11045_,4.02µm
_11311_,4.02µm
_11345_,4.02µm
_11504_,4.02µm
_11655_,4.02µm
_11666_,4.02µm
_11848_,4.02µm
_11896_,4.02µm
_11965_,4.02µm
_12053_,4.02µm
_12255_,4.02µm
_12850_,4.02µm
_12889_,4.02µm
_12950_,4.02µm
_13370_,4.02µm
_13488_,4.02µm
_13770_,4.02µm
_13773_,4.02µm
_14080_,4.02µm
_14116_,4.02µm
_14121_,4.02µm
_16465_,4.02µm
_16847_,4.02µm
_16912_,4.02µm
_17088_,4.02µm
_17116_,4.02µm
_17310_,4.02µm
_17675_,4.02µm
_18017_,4.02µm
_18081_,4.02µm
_18353_,4.02µm
_18390_,4.02µm
_18406_,4.02µm
_18486_,4.02µm
_18670_,4.02µm
_18753_,4.02µm
_18903_,4.02µm
_19171_,4.02µm
_19257_,4.02µm
_19767_,4.02µm
_19859_,4.02µm
_20113_,4.02µm
_20147_,4.02µm
_20571_,4.02µm
_20873_,4.02µm
_21159_,4.02µm
_21224_,4.02µm
_21377_,4.02µm
_21493_,4.02µm
_21595_,4.02µm
_21786_,4.02µm
_21911_,4.02µm
_22607_,4.02µm
_23067_,4.02µm
_03090_,4.015µm
_00046_,4µm
_00206_,4µm
_00247_,4µm
_00261_,4µm
_00277_,4µm
_00360_,4µm
_00439_,4µm
_00502_,4µm
_00577_,4µm
_00782_,4µm
_00790_,4µm
_00828_,4µm
_00883_,4µm
_00986_,4µm
_01090_,4µm
_01120_,4µm
_01121_,4µm
_01128_,4µm
_01137_,4µm
_01149_,4µm
_01158_,4µm
_01159_,4µm
_01176_,4µm
_01194_,4µm
_01249_,4µm
_01261_,4µm
_01295_,4µm
_01369_,4µm
_01386_,4µm
_01388_,4µm
_01447_,4µm
_01478_,4µm
_01503_,4µm
_01549_,4µm
_01599_,4µm
_01662_,4µm
_01695_,4µm
_01734_,4µm
_01750_,4µm
_01759_,4µm
_01766_,4µm
_01782_,4µm
_01855_,4µm
_01868_,4µm
_01950_,4µm
_01986_,4µm
_02018_,4µm
_02029_,4µm
_02038_,4µm
_02045_,4µm
_02047_,4µm
_02197_,4µm
_02294_,4µm
_02325_,4µm
_02336_,4µm
_02344_,4µm
_02354_,4µm
_02392_,4µm
_02400_,4µm
_02419_,4µm
_02451_,4µm
_02465_,4µm
_02485_,4µm
_02494_,4µm
_02499_,4µm
_02510_,4µm
_02545_,4µm
_02631_,4µm
_02643_,4µm
_02679_,4µm
_02702_,4µm
_02707_,4µm
_02766_,4µm
_02799_,4µm
_02803_,4µm
_02804_,4µm
_02844_,4µm
_02885_,4µm
_02965_,4µm
_02967_,4µm
_02988_,4µm
_02992_,4µm
_03121_,4µm
_03343_,4µm
_03458_,4µm
_03656_,4µm
_03665_,4µm
_03998_,4µm
_04107_,4µm
_04332_,4µm
_05216_,4µm
_05405_,4µm
_05442_,4µm
_05683_,4µm
_05874_,4µm
_06153_,4µm
_06303_,4µm
_06626_,4µm
_06658_,4µm
_06868_,4µm
_07085_,4µm
_07292_,4µm
_07351_,4µm
_07447_,4µm
_07851_,4µm
_07910_,4µm
_07999_,4µm
_08950_,4µm
_09073_,4µm
_09137_,4µm
_09144_,4µm
_09421_,4µm
_10046_,4µm
_10151_,4µm
_10347_,4µm
_10359_,4µm
_10637_,4µm
_10793_,4µm
_10816_,4µm
_11407_,4µm
_11723_,4µm
_11764_,4µm
_11777_,4µm
_11843_,4µm
_12293_,4µm
_12506_,4µm
_12659_,4µm
_12824_,4µm
_13304_,4µm
_13619_,4µm
_13918_,4µm
_13942_,4µm
_13953_,4µm
_16546_,4µm
_16951_,4µm
_17076_,4µm
_17102_,4µm
_17499_,4µm
_18334_,4µm
_18413_,4µm
_18708_,4µm
_19387_,4µm
_19392_,4µm
_19793_,4µm
_19839_,4µm
_20120_,4µm
_20186_,4µm
_20651_,4µm
_20839_,4µm
_20925_,4µm
_21831_,4µm
_22945_,4µm
u_ctrl.tt_wr_deadline\[2\],4µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[7\],4µm
u_ctrl.u_task_table.period_mem\[6\]\[10\],4µm
u_scan.scan_reg\[107\],4µm
u_scan.scan_reg\[128\],4µm
u_scan.scan_reg\[157\],4µm
u_scan.scan_reg\[159\],4µm
u_scan.scan_reg\[171\],4µm
u_scan.scan_reg\[185\],4µm
u_scan.scan_reg\[189\],4µm
u_scan.scan_reg\[212\],4µm
u_scan.scan_reg\[55\],4µm
u_uart_apb.resp_data\[4\],4µm
u_uart_apb.resp_data\[5\],4µm
_14179_,3.99µm
_00983_,3.98µm
_01499_,3.98µm
_03407_,3.98µm
_03417_,3.98µm
_03634_,3.98µm
_03692_,3.98µm
_03758_,3.98µm
_04103_,3.98µm
_05246_,3.98µm
_05643_,3.98µm
_06126_,3.98µm
_06976_,3.98µm
_08354_,3.98µm
_08357_,3.98µm
_08712_,3.98µm
_08773_,3.98µm
_09392_,3.98µm
_09413_,3.98µm
_09705_,3.98µm
_09947_,3.98µm
_10076_,3.98µm
_10622_,3.98µm
_10824_,3.98µm
_10965_,3.98µm
_11501_,3.98µm
_11648_,3.98µm
_11649_,3.98µm
_11686_,3.98µm
_12130_,3.98µm
_12539_,3.98µm
_13046_,3.98µm
_13235_,3.98µm
_14021_,3.98µm
_14320_,3.98µm
_14325_,3.98µm
_14727_,3.98µm
_14760_,3.98µm
_14960_,3.98µm
_15047_,3.98µm
_15109_,3.98µm
_15182_,3.98µm
_15297_,3.98µm
_15299_,3.98µm
_15590_,3.98µm
_15734_,3.98µm
_15816_,3.98µm
_16108_,3.98µm
_16311_,3.98µm
_16547_,3.98µm
_16961_,3.98µm
_17447_,3.98µm
_17799_,3.98µm
_17814_,3.98µm
_18682_,3.98µm
_18807_,3.98µm
_18814_,3.98µm
_18846_,3.98µm
_19842_,3.98µm
_20282_,3.98µm
_20499_,3.98µm
_21176_,3.98µm
_21348_,3.98µm
_22014_,3.98µm
_22384_,3.98µm
_22660_,3.98µm
_22697_,3.98µm
_13307_,3.975µm
_14441_,3.955µm
_00519_,3.925µm
_01192_,3.925µm
_12960_,3.915µm
_14306_,3.91µm
_14886_,3.91µm
_14928_,3.91µm
_15122_,3.91µm
_15185_,3.91µm
_15247_,3.91µm
_15641_,3.91µm
_15947_,3.91µm
_16175_,3.91µm
_16259_,3.91µm
_17784_,3.91µm
_19092_,3.91µm
_04077_,3.9µm
_04501_,3.9µm
_04586_,3.9µm
_05671_,3.9µm
_06205_,3.9µm
_06365_,3.9µm
_06531_,3.9µm
_07146_,3.9µm
_07260_,3.9µm
_07916_,3.9µm
_09397_,3.9µm
_09578_,3.9µm
_10144_,3.9µm
_10466_,3.9µm
_11079_,3.9µm
_11326_,3.9µm
_11339_,3.9µm
_11393_,3.9µm
_11397_,3.9µm
_11448_,3.9µm
_12151_,3.9µm
_12532_,3.9µm
_12575_,3.9µm
_12840_,3.9µm
_12894_,3.9µm
_13129_,3.9µm
_13462_,3.9µm
_13479_,3.9µm
_13926_,3.9µm
_14018_,3.9µm
_14148_,3.9µm
_14173_,3.9µm
_14196_,3.9µm
_14304_,3.9µm
_14338_,3.9µm
_14369_,3.9µm
_14557_,3.9µm
_14677_,3.9µm
_14704_,3.9µm
_14773_,3.9µm
_14785_,3.9µm
_14819_,3.9µm
_14825_,3.9µm
_15015_,3.9µm
_15060_,3.9µm
_15111_,3.9µm
_15147_,3.9µm
_15162_,3.9µm
_15178_,3.9µm
_15201_,3.9µm
_15212_,3.9µm
_15262_,3.9µm
_15291_,3.9µm
_15316_,3.9µm
_15356_,3.9µm
_15380_,3.9µm
_15489_,3.9µm
_15526_,3.9µm
_15543_,3.9µm
_15560_,3.9µm
_15618_,3.9µm
_15620_,3.9µm
_15634_,3.9µm
_15664_,3.9µm
_15680_,3.9µm
_15695_,3.9µm
_15736_,3.9µm
_15737_,3.9µm
_15804_,3.9µm
_15806_,3.9µm
_15833_,3.9µm
_15841_,3.9µm
_15874_,3.9µm
_15902_,3.9µm
_15921_,3.9µm
_15935_,3.9µm
_15990_,3.9µm
_16145_,3.9µm
_16147_,3.9µm
_16150_,3.9µm
_16154_,3.9µm
_16155_,3.9µm
_16202_,3.9µm
_16203_,3.9µm
_16225_,3.9µm
_16269_,3.9µm
_16278_,3.9µm
_16284_,3.9µm
_16307_,3.9µm
_16329_,3.9µm
_16373_,3.9µm
_18115_,3.9µm
_18374_,3.9µm
_18802_,3.9µm
_18819_,3.9µm
_18947_,3.9µm
_19061_,3.9µm
_19096_,3.9µm
_19141_,3.9µm
_20340_,3.9µm
_20385_,3.9µm
_20489_,3.9µm
_20708_,3.9µm
_20737_,3.9µm
_22266_,3.9µm
_22366_,3.9µm
_22441_,3.9µm
_22806_,3.9µm
_22871_,3.9µm
_00088_,3.88µm
_00199_,3.88µm
_00202_,3.88µm
_00563_,3.88µm
_00626_,3.88µm
_00963_,3.88µm
_00992_,3.88µm
_01017_,3.88µm
_01201_,3.88µm
_01288_,3.88µm
_01435_,3.88µm
_01617_,3.88µm
_01706_,3.88µm
_01985_,3.88µm
_02054_,3.88µm
_02331_,3.88µm
_02463_,3.88µm
_02595_,3.88µm
_02801_,3.88µm
_02879_,3.88µm
_03133_,3.88µm
_03160_,3.88µm
_03180_,3.88µm
_03315_,3.88µm
_03347_,3.88µm
_03427_,3.88µm
_03596_,3.88µm
_03779_,3.88µm
_03817_,3.88µm
_04063_,3.88µm
_04293_,3.88µm
_04436_,3.88µm
_04520_,3.88µm
_04638_,3.88µm
_04852_,3.88µm
_04878_,3.88µm
_04903_,3.88µm
_04930_,3.88µm
_04993_,3.88µm
_04996_,3.88µm
_05034_,3.88µm
_05165_,3.88µm
_05269_,3.88µm
_05285_,3.88µm
_05340_,3.88µm
_05387_,3.88µm
_05505_,3.88µm
_05513_,3.88µm
_05548_,3.88µm
_05634_,3.88µm
_05700_,3.88µm
_05824_,3.88µm
_05843_,3.88µm
_05940_,3.88µm
_05973_,3.88µm
_06140_,3.88µm
_06171_,3.88µm
_06450_,3.88µm
_06492_,3.88µm
_06508_,3.88µm
_06546_,3.88µm
_06731_,3.88µm
_06822_,3.88µm
_06839_,3.88µm
_06855_,3.88µm
_06873_,3.88µm
_07117_,3.88µm
_07179_,3.88µm
_07288_,3.88µm
_07290_,3.88µm
_07403_,3.88µm
_07560_,3.88µm
_07589_,3.88µm
_07760_,3.88µm
_07940_,3.88µm
_07948_,3.88µm
_08077_,3.88µm
_08079_,3.88µm
_08572_,3.88µm
_08818_,3.88µm
_08915_,3.88µm
_08937_,3.88µm
_09132_,3.88µm
_09175_,3.88µm
_09589_,3.88µm
_09592_,3.88µm
_09605_,3.88µm
_09746_,3.88µm
_09758_,3.88µm
_09789_,3.88µm
_09801_,3.88µm
_09868_,3.88µm
_09874_,3.88µm
_09935_,3.88µm
_09953_,3.88µm
_10059_,3.88µm
_10135_,3.88µm
_10160_,3.88µm
_10240_,3.88µm
_10271_,3.88µm
_10428_,3.88µm
_10438_,3.88µm
_10460_,3.88µm
_10500_,3.88µm
_10525_,3.88µm
_10560_,3.88µm
_10563_,3.88µm
_10576_,3.88µm
_10596_,3.88µm
_10733_,3.88µm
_10765_,3.88µm
_10775_,3.88µm
_10782_,3.88µm
_10790_,3.88µm
_10913_,3.88µm
_10960_,3.88µm
_10971_,3.88µm
_10994_,3.88µm
_11000_,3.88µm
_11039_,3.88µm
_11114_,3.88µm
_11119_,3.88µm
_11153_,3.88µm
_11296_,3.88µm
_11314_,3.88µm
_11364_,3.88µm
_11409_,3.88µm
_11537_,3.88µm
_11590_,3.88µm
_11619_,3.88µm
_11674_,3.88µm
_11682_,3.88µm
_11695_,3.88µm
_11705_,3.88µm
_11806_,3.88µm
_11870_,3.88µm
_11897_,3.88µm
_12059_,3.88µm
_12414_,3.88µm
_12498_,3.88µm
_12518_,3.88µm
_13150_,3.88µm
_13219_,3.88µm
_13262_,3.88µm
_13321_,3.88µm
_13556_,3.88µm
_13569_,3.88µm
_13781_,3.88µm
_13978_,3.88µm
_13980_,3.88µm
_13989_,3.88µm
_14006_,3.88µm
_14050_,3.88µm
_14065_,3.88µm
_14132_,3.88µm
_14150_,3.88µm
_14203_,3.88µm
_14218_,3.88µm
_14359_,3.88µm
_14522_,3.88µm
_14767_,3.88µm
_14952_,3.88µm
_15094_,3.88µm
_15124_,3.88µm
_15129_,3.88µm
_15152_,3.88µm
_15266_,3.88µm
_15281_,3.88µm
_15343_,3.88µm
_15555_,3.88µm
_15578_,3.88µm
_15801_,3.88µm
_15819_,3.88µm
_15991_,3.88µm
_16047_,3.88µm
_16162_,3.88µm
_16167_,3.88µm
_16295_,3.88µm
_16330_,3.88µm
_16527_,3.88µm
_16677_,3.88µm
_16952_,3.88µm
_16966_,3.88µm
_17048_,3.88µm
_17232_,3.88µm
_17400_,3.88µm
_17632_,3.88µm
_17678_,3.88µm
_17682_,3.88µm
_17686_,3.88µm
_17723_,3.88µm
_17770_,3.88µm
_17774_,3.88µm
_17777_,3.88µm
_17836_,3.88µm
_18018_,3.88µm
_18030_,3.88µm
_18046_,3.88µm
_18053_,3.88µm
_18169_,3.88µm
_18175_,3.88µm
_18192_,3.88µm
_18317_,3.88µm
_18326_,3.88µm
_18352_,3.88µm
_18373_,3.88µm
_18432_,3.88µm
_18509_,3.88µm
_18512_,3.88µm
_18553_,3.88µm
_18900_,3.88µm
_18931_,3.88µm
_18934_,3.88µm
_19200_,3.88µm
_19431_,3.88µm
_19513_,3.88µm
_19580_,3.88µm
_20119_,3.88µm
_20476_,3.88µm
_20547_,3.88µm
_20554_,3.88µm
_20785_,3.88µm
_20916_,3.88µm
_21002_,3.88µm
_21055_,3.88µm
_21133_,3.88µm
_21135_,3.88µm
_21289_,3.88µm
_21586_,3.88µm
_21723_,3.88µm
_21907_,3.88µm
_21938_,3.88µm
_21954_,3.88µm
_22003_,3.88µm
_22056_,3.88µm
_22280_,3.88µm
_22370_,3.88µm
_22436_,3.88µm
_22463_,3.88µm
_22468_,3.88µm
_22477_,3.88µm
_22526_,3.88µm
_22596_,3.88µm
_22868_,3.88µm
_22924_,3.88µm
_22983_,3.88µm
_22997_,3.88µm
_23069_,3.88µm
_23119_,3.88µm
net13,3.88µm
u_ctrl.tt_rd_id_tick\[2\],3.88µm
u_ctrl.tt_wr_deadline\[4\],3.88µm
u_ctrl.tt_wr_period\[7\],3.88µm
u_ctrl.tt_wr_wcet\[5\],3.88µm
u_ctrl.u_task_table.wcet_mem\[4\]\[13\],3.88µm
u_scan.scan_reg\[143\],3.88µm
u_scan.scan_reg\[203\],3.88µm
u_scan.scan_reg\[214\],3.88µm
u_scan.scan_reg\[82\],3.88µm
u_scan.scan_reg\[83\],3.88µm
u_sq.cnt_mem\[13\]\[14\],3.88µm
_14511_,3.875µm
_03857_,3.86µm
_04310_,3.86µm
_05457_,3.86µm
_05835_,3.86µm
_06467_,3.86µm
_09201_,3.86µm
_10197_,3.86µm
_13005_,3.86µm
_13070_,3.86µm
_13101_,3.86µm
_17637_,3.86µm
_20020_,3.86µm
_21040_,3.86µm
_01310_,3.845µm
_01516_,3.845µm
_01789_,3.845µm
_01796_,3.845µm
_02646_,3.845µm
_19395_,3.81µm
_01446_,3.805µm
_07278_,3.78µm
_09344_,3.78µm
_10639_,3.78µm
_15426_,3.78µm
_17082_,3.78µm
_17090_,3.78µm
_19700_,3.78µm
_19956_,3.78µm
_21261_,3.78µm
_08457_,3.77µm
_08505_,3.77µm
_15117_,3.77µm
_20162_,3.77µm
_00066_,3.76µm
_00146_,3.76µm
_00190_,3.76µm
_00221_,3.76µm
_00687_,3.76µm
_01086_,3.76µm
_01151_,3.76µm
_01278_,3.76µm
_01340_,3.76µm
_01371_,3.76µm
_01412_,3.76µm
_01414_,3.76µm
_01454_,3.76µm
_01594_,3.76µm
_01616_,3.76µm
_01685_,3.76µm
_01760_,3.76µm
_01778_,3.76µm
_01809_,3.76µm
_01821_,3.76µm
_01836_,3.76µm
_01852_,3.76µm
_01912_,3.76µm
_01957_,3.76µm
_02167_,3.76µm
_02176_,3.76µm
_02215_,3.76µm
_02230_,3.76µm
_02236_,3.76µm
_02254_,3.76µm
_02279_,3.76µm
_02353_,3.76µm
_02408_,3.76µm
_02418_,3.76µm
_02424_,3.76µm
_02504_,3.76µm
_02642_,3.76µm
_03002_,3.76µm
_03284_,3.76µm
_03507_,3.76µm
_03543_,3.76µm
_03790_,3.76µm
_03805_,3.76µm
_04519_,3.76µm
_04943_,3.76µm
_05300_,3.76µm
_05313_,3.76µm
_05333_,3.76µm
_05345_,3.76µm
_05771_,3.76µm
_05884_,3.76µm
_06035_,3.76µm
_06406_,3.76µm
_06460_,3.76µm
_07025_,3.76µm
_07162_,3.76µm
_07183_,3.76µm
_07625_,3.76µm
_07672_,3.76µm
_07905_,3.76µm
_08007_,3.76µm
_08199_,3.76µm
_08205_,3.76µm
_08324_,3.76µm
_08507_,3.76µm
_08764_,3.76µm
_08968_,3.76µm
_09355_,3.76µm
_09369_,3.76µm
_09374_,3.76µm
_10086_,3.76µm
_10087_,3.76µm
_10375_,3.76µm
_10520_,3.76µm
_10713_,3.76µm
_10727_,3.76µm
_11184_,3.76µm
_11441_,3.76µm
_11550_,3.76µm
_11588_,3.76µm
_13585_,3.76µm
_13674_,3.76µm
_13790_,3.76µm
_13923_,3.76µm
_14492_,3.76µm
_16540_,3.76µm
_17172_,3.76µm
_17488_,3.76µm
_17519_,3.76µm
_17527_,3.76µm
_17833_,3.76µm
_17838_,3.76µm
_17895_,3.76µm
_17932_,3.76µm
_18107_,3.76µm
_18139_,3.76µm
_18143_,3.76µm
_18252_,3.76µm
_18343_,3.76µm
_18699_,3.76µm
_21024_,3.76µm
_21169_,3.76µm
_21472_,3.76µm
_21485_,3.76µm
_21735_,3.76µm
_22311_,3.76µm
_22398_,3.76µm
_22800_,3.76µm
_22822_,3.76µm
u_ctrl.tt_wr_deadline\[9\],3.76µm
u_ctrl.u_task_table.wcet_mem\[14\]\[2\],3.76µm
u_scan.scan_reg\[27\],3.76µm
_01209_,3.755µm
_06693_,3.74µm
_13581_,3.74µm
_16629_,3.74µm
_16936_,3.74µm
_18752_,3.74µm
_20644_,3.74µm
u_scan.scan_reg\[38\],3.74µm
_01463_,3.725µm
_01044_,3.705µm
_01763_,3.705µm
_00326_,3.685µm
_00428_,3.685µm
_01591_,3.685µm
_00422_,3.68µm
_00691_,3.68µm
_00794_,3.68µm
_00812_,3.68µm
_02791_,3.68µm
_03383_,3.68µm
_03942_,3.68µm
_05979_,3.68µm
_06456_,3.68µm
_10335_,3.68µm
_10367_,3.68µm
_10592_,3.68µm
_10791_,3.68µm
_11252_,3.68µm
_11347_,3.68µm
_11831_,3.68µm
_13146_,3.68µm
_13378_,3.68µm
_16647_,3.68µm
_17064_,3.68µm
_17112_,3.68µm
_18886_,3.68µm
_18887_,3.68µm
_19012_,3.68µm
_19319_,3.68µm
_19496_,3.68µm
_21527_,3.68µm
_21861_,3.68µm
_23046_,3.68µm
u_scan.scan_reg\[16\],3.68µm
_00026_,3.665µm
_00068_,3.66µm
_00128_,3.66µm
_00232_,3.66µm
_00240_,3.66µm
_00242_,3.66µm
_00253_,3.66µm
_00254_,3.66µm
_00276_,3.66µm
_00328_,3.66µm
_00331_,3.66µm
_00338_,3.66µm
_00359_,3.66µm
_00363_,3.66µm
_00364_,3.66µm
_00392_,3.66µm
_00587_,3.66µm
_00624_,3.66µm
_00840_,3.66µm
_00908_,3.66µm
_00998_,3.66µm
_01000_,3.66µm
_01030_,3.66µm
_01098_,3.66µm
_01117_,3.66µm
_01160_,3.66µm
_01179_,3.66µm
_01319_,3.66µm
_01329_,3.66µm
_01346_,3.66µm
_01354_,3.66µm
_01376_,3.66µm
_01396_,3.66µm
_01397_,3.66µm
_01402_,3.66µm
_01422_,3.66µm
_01437_,3.66µm
_01452_,3.66µm
_01507_,3.66µm
_01535_,3.66µm
_01538_,3.66µm
_01607_,3.66µm
_01623_,3.66µm
_01635_,3.66µm
_01648_,3.66µm
_01654_,3.66µm
_01665_,3.66µm
_01668_,3.66µm
_01684_,3.66µm
_01700_,3.66µm
_01726_,3.66µm
_01765_,3.66µm
_01798_,3.66µm
_01814_,3.66µm
_01834_,3.66µm
_01850_,3.66µm
_01872_,3.66µm
_01923_,3.66µm
_01931_,3.66µm
_01975_,3.66µm
_01982_,3.66µm
_02001_,3.66µm
_02084_,3.66µm
_02103_,3.66µm
_02128_,3.66µm
_02151_,3.66µm
_02165_,3.66µm
_02183_,3.66µm
_02252_,3.66µm
_02284_,3.66µm
_02310_,3.66µm
_02333_,3.66µm
_02348_,3.66µm
_02445_,3.66µm
_02446_,3.66µm
_02478_,3.66µm
_02479_,3.66µm
_02482_,3.66µm
_02529_,3.66µm
_02536_,3.66µm
_02546_,3.66µm
_02588_,3.66µm
_02638_,3.66µm
_02652_,3.66µm
_02691_,3.66µm
_02851_,3.66µm
_02859_,3.66µm
_02864_,3.66µm
_02918_,3.66µm
_02953_,3.66µm
_02980_,3.66µm
_02991_,3.66µm
_02996_,3.66µm
_03001_,3.66µm
_03028_,3.66µm
_03049_,3.66µm
_03816_,3.66µm
_04891_,3.66µm
_04924_,3.66µm
_06789_,3.66µm
_08584_,3.66µm
_08606_,3.66µm
_12158_,3.66µm
_12742_,3.66µm
_13794_,3.66µm
_13865_,3.66µm
_18399_,3.66µm
_19607_,3.66µm
_20306_,3.66µm
_10300_,3.65µm
_01164_,3.64µm
_01777_,3.64µm
_02722_,3.64µm
_02786_,3.64µm
_02795_,3.64µm
_03103_,3.64µm
_03598_,3.64µm
_03729_,3.64µm
_04364_,3.64µm
_04467_,3.64µm
_04704_,3.64µm
_04958_,3.64µm
_04973_,3.64µm
_05283_,3.64µm
_06309_,3.64µm
_06435_,3.64µm
_06509_,3.64µm
_06841_,3.64µm
_07931_,3.64µm
_08091_,3.64µm
_08407_,3.64µm
_08641_,3.64µm
_08767_,3.64µm
_08927_,3.64µm
_09171_,3.64µm
_09199_,3.64µm
_09676_,3.64µm
_09948_,3.64µm
_10411_,3.64µm
_10666_,3.64µm
_10784_,3.64µm
_11030_,3.64µm
_11258_,3.64µm
_11544_,3.64µm
_12020_,3.64µm
_12176_,3.64µm
_12374_,3.64µm
_12417_,3.64µm
_12453_,3.64µm
_13190_,3.64µm
_13568_,3.64µm
_13861_,3.64µm
_13915_,3.64µm
_13922_,3.64µm
_13938_,3.64µm
_13945_,3.64µm
_14041_,3.64µm
_14185_,3.64µm
_16401_,3.64µm
_16650_,3.64µm
_16810_,3.64µm
_17029_,3.64µm
_17134_,3.64µm
_17255_,3.64µm
_17276_,3.64µm
_17583_,3.64µm
_17679_,3.64µm
_17874_,3.64µm
_18071_,3.64µm
_18083_,3.64µm
_18201_,3.64µm
_18248_,3.64µm
_18275_,3.64µm
_18298_,3.64µm
_18318_,3.64µm
_18348_,3.64µm
_18463_,3.64µm
_18672_,3.64µm
_19266_,3.64µm
_20383_,3.64µm
_20642_,3.64µm
_20779_,3.64µm
_21015_,3.64µm
_21502_,3.64µm
_21994_,3.64µm
_22024_,3.64µm
_22078_,3.64µm
_22390_,3.64µm
_22691_,3.64µm
_22742_,3.64µm
_22797_,3.64µm
_22846_,3.64µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[6\],3.64µm
_07883_,3.63µm
_03264_,3.62µm
_17017_,3.61µm
_01471_,3.595µm
